Id,MSSubClass,LotFrontage,LotArea,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SaleType,SaleCondition,SalePrice,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_GasA,Heating_GasW,Heating_Grav,Heating_Wall,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_RFn,GarageFinish_Unf,GarageQual_Fa,GarageQual_Gd,GarageQual_Po,GarageQual_TA,GarageCond_Fa,GarageCond_Gd,GarageCond_Po,GarageCond_TA,PavedDrive_P,PavedDrive_Y
12,60,85.0,11924,270674.55319148937,172579.09455587392,169601.1319966583,197411.99431818182,9,5,2005,2006,181451.1616161616,169270.6432748538,136758.27272727274,145034.4827586207,286.0,205998.1303538175,213245.82300884955,998.0,170898.55865921787,177.0,1175.0,1182,1142,2324,1.0,3,0,4,1,11,171603.08880994673,2,224064.828125,2005.0,3.0,736.0,147,21,0,0,0,232939.10714285713,230574.8620689655,345000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
13,20,69.30579531442663,12968,136169.4492753623,172579.09455587392,169601.1319966583,164390.43207855974,5,6,1962,1962,181451.1616161616,169270.6432748538,156462.59595959596,156865.5,0.0,144048.07372400755,153928.9402173913,737.0,170898.55865921787,175.0,912.0,912,0,912,1.0,1,0,2,1,4,171603.08880994673,0,131189.86280487804,1962.0,1.0,352.0,140,0,0,176,0,165659.6867356538,167401.3746283449,144000.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
14,20,91.0,10652,193562.33333333334,172579.09455587392,169601.1319966583,164390.43207855974,7,5,2006,2007,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,306.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,1494.0,1494.0,1494,0,1494,0.0,2,0,3,1,7,171603.08880994673,1,181878.3426395939,2006.0,3.0,840.0,160,33,0,0,0,232939.10714285713,230574.8620689655,279500.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
15,20,69.30579531442663,10920,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,6,5,1960,1960,181451.1616161616,169270.6432748538,145707.9375,146256.2780748663,212.0,144048.07372400755,144354.0,733.0,170898.55865921787,520.0,1253.0,1253,0,1253,1.0,1,1,2,1,5,171603.08880994673,1,181878.3426395939,1960.0,1.0,352.0,0,213,176,0,0,165659.6867356538,167401.3746283449,157000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
16,45,51.0,6120,123938.77551020408,172579.09455587392,169601.1319966583,110150.0,7,8,1929,2001,166931.7105263158,169270.6432748538,138480.72435897434,139536.2611464968,0.0,123700.30172413793,156463.9871794872,0.0,170898.55865921787,832.0,832.0,854,0,854,0.0,1,0,2,1,5,171603.08880994673,0,131189.86280487804,1991.0,2.0,576.0,48,112,0,0,0,165659.6867356538,167401.3746283449,132000.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
17,20,69.30579531442663,11241,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,6,7,1970,1970,166931.7105263158,169270.6432748538,138480.72435897434,139536.2611464968,180.0,144048.07372400755,153928.9402173913,578.0,170898.55865921787,426.0,1004.0,1004,0,1004,1.0,1,0,2,1,5,171603.08880994673,1,181878.3426395939,1970.0,2.0,480.0,0,0,0,0,0,165659.6867356538,167401.3746283449,149000.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
18,90,72.0,10791,136169.4492753623,172579.09455587392,169601.1319966583,164390.43207855974,4,5,1967,1967,166931.7105263158,169270.6432748538,145707.9375,146256.2780748663,0.0,105106.42105263157,156463.9871794872,0.0,170898.55865921787,0.0,0.0,1296,0,1296,0.0,2,0,2,2,6,171603.08880994673,0,107582.375,1967.0,2.0,516.0,0,0,0,0,0,165659.6867356538,167401.3746283449,90000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
19,20,66.0,13695,180056.51923076922,138400.0,169601.1319966583,164390.43207855974,5,5,2004,2004,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,0.0,205998.1303538175,213245.82300884955,646.0,170898.55865921787,468.0,1114.0,1114,0,1114,1.0,1,1,3,1,6,171603.08880994673,0,131189.86280487804,2004.0,2.0,576.0,0,102,0,0,0,165659.6867356538,167401.3746283449,159000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
20,20,70.0,7560,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,5,6,1958,1965,181451.1616161616,169270.6432748538,162543.05555555556,156865.5,0.0,144048.07372400755,149490.35087719298,504.0,170898.55865921787,525.0,1029.0,1339,0,1339,0.0,1,0,3,1,6,138220.37037037036,0,181878.3426395939,1958.0,1.0,294.0,0,0,0,0,0,135351.38888888888,139055.156626506,139000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
21,60,101.0,14215,270674.55319148937,172579.09455587392,169601.1319966583,197411.99431818182,8,5,2005,2006,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,380.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,1158.0,1158.0,1158,1218,2376,0.0,3,1,4,1,9,171603.08880994673,1,224064.828125,2005.0,3.0,853.0,240,154,0,0,0,232939.10714285713,230574.8620689655,325300.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
22,45,57.0,7449,105105.28125,172579.09455587392,169601.1319966583,110150.0,7,7,1930,1950,166931.7105263158,169270.6432748538,138480.72435897434,139536.2611464968,0.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,637.0,637.0,1108,0,1108,0.0,1,0,3,1,6,171603.08880994673,1,181878.3426395939,1930.0,1.0,280.0,0,0,205,0,0,165659.6867356538,167401.3746283449,139400.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
24,120,44.0,4224,100485.71428571429,172579.09455587392,169601.1319966583,164390.43207855974,5,7,1976,1976,166931.7105263158,169270.6432748538,216434.43243243243,217779.83333333334,0.0,205998.1303538175,213245.82300884955,840.0,170898.55865921787,200.0,1040.0,1060,0,1060,1.0,1,0,3,1,6,171603.08880994673,1,181878.3426395939,1976.0,2.0,572.0,100,110,0,0,0,165659.6867356538,167401.3746283449,129900.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
25,20,69.30579531442663,8246,136169.4492753623,172579.09455587392,169601.1319966583,164390.43207855974,5,8,1968,2001,166931.7105263158,169270.6432748538,163154.75294117647,156865.5,0.0,144048.07372400755,142770.68468468467,188.0,176540.0,204.0,1060.0,1060,0,1060,1.0,1,0,3,1,6,171603.08880994673,1,181878.3426395939,1968.0,1.0,270.0,406,90,0,0,0,165659.6867356538,167401.3746283449,154000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
26,20,110.0,14230,270674.55319148937,172579.09455587392,169601.1319966583,164390.43207855974,8,5,2007,2007,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,640.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,1566.0,1566.0,1600,0,1600,0.0,2,0,3,1,7,171603.08880994673,1,181878.3426395939,2007.0,3.0,890.0,0,56,0,0,0,165659.6867356538,167401.3746283449,256300.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
27,20,60.0,7200,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,5,7,1951,2000,166931.7105263158,169270.6432748538,138480.72435897434,139536.2611464968,0.0,144048.07372400755,144354.0,234.0,147598.17073170733,180.0,900.0,900,0,900,0.0,1,0,3,1,5,171603.08880994673,0,131189.86280487804,2005.0,2.0,576.0,222,32,0,0,0,165659.6867356538,167401.3746283449,134800.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
28,20,98.0,11478,270674.55319148937,172579.09455587392,169601.1319966583,164390.43207855974,8,5,2007,2008,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,200.0,205998.1303538175,213245.82300884955,1218.0,170898.55865921787,486.0,1704.0,1704,0,1704,1.0,2,0,3,1,7,171603.08880994673,1,181878.3426395939,2008.0,3.0,772.0,0,50,0,0,0,165659.6867356538,167401.3746283449,306000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
31,70,50.0,8500,105105.28125,141297.95588235295,169601.1319966583,197411.99431818182,4,4,1920,1950,153060.0,169270.6432748538,162543.05555555556,149320.58823529413,0.0,123700.30172413793,156463.9871794872,0.0,170898.55865921787,649.0,649.0,649,668,1317,0.0,1,0,3,1,6,171603.08880994673,0,131189.86280487804,1920.0,1.0,250.0,0,54,172,0,0,165659.6867356538,167401.3746283449,40000.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
32,20,69.30579531442663,8544,136169.4492753623,172579.09455587392,169601.1319966583,164390.43207855974,5,6,1966,2006,166931.7105263158,169270.6432748538,156462.59595959596,159147.75690607735,0.0,144048.07372400755,156463.9871794872,0.0,170898.55865921787,1228.0,1228.0,1228,0,1228,0.0,1,1,3,1,6,171603.08880994673,0,181878.3426395939,1966.0,1.0,271.0,0,65,0,0,0,165659.6867356538,167401.3746283449,149350.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
33,20,85.0,11049,193562.33333333334,172579.09455587392,169601.1319966583,164390.43207855974,8,5,2007,2007,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,0.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,1234.0,1234.0,1234,0,1234,0.0,2,0,3,1,7,171603.08880994673,0,181878.3426395939,2007.0,2.0,484.0,0,30,0,0,0,165659.6867356538,167401.3746283449,179900.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
34,20,70.0,10552,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,5,5,1959,1959,181451.1616161616,169270.6432748538,162543.05555555556,149320.58823529413,0.0,144048.07372400755,142770.68468468467,1018.0,170898.55865921787,380.0,1398.0,1700,0,1700,0.0,1,1,4,1,6,171603.08880994673,1,181878.3426395939,1959.0,2.0,447.0,0,38,0,0,0,165659.6867356538,167401.3746283449,165500.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
35,120,60.0,7313,270674.55319148937,172579.09455587392,169601.1319966583,164390.43207855974,9,5,2005,2005,181451.1616161616,169270.6432748538,145707.9375,146256.2780748663,246.0,205998.1303538175,213245.82300884955,1153.0,170898.55865921787,408.0,1561.0,1561,0,1561,1.0,2,0,2,1,6,171603.08880994673,1,181878.3426395939,2005.0,2.0,556.0,203,47,0,0,0,165659.6867356538,167401.3746283449,277500.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
36,60,108.0,13418,270674.55319148937,172579.09455587392,169601.1319966583,197411.99431818182,8,5,2004,2005,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,132.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,1117.0,1117.0,1132,1320,2452,0.0,3,1,4,1,9,171603.08880994673,1,224064.828125,2004.0,3.0,691.0,113,32,0,0,0,165659.6867356538,167401.3746283449,309000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
37,20,112.0,10859,193562.33333333334,172579.09455587392,169601.1319966583,164390.43207855974,5,5,1994,1995,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,0.0,205998.1303538175,156463.9871794872,0.0,170898.55865921787,1097.0,1097.0,1097,0,1097,0.0,1,1,3,1,6,171603.08880994673,0,181878.3426395939,1995.0,2.0,672.0,392,64,0,0,0,165659.6867356538,167401.3746283449,145000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
38,20,74.0,8532,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,5,6,1954,1990,181451.1616161616,169270.6432748538,138480.72435897434,139536.2611464968,650.0,144048.07372400755,142770.68468468467,1213.0,170898.55865921787,84.0,1297.0,1297,0,1297,0.0,1,0,3,1,5,171603.08880994673,1,181878.3426395939,1954.0,2.0,498.0,0,0,0,0,0,165659.6867356538,167401.3746283449,153000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
39,20,68.0,7922,139804.965,172579.09455587392,169601.1319966583,164390.43207855974,5,7,1953,2007,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,0.0,144048.07372400755,213245.82300884955,731.0,170898.55865921787,326.0,1057.0,1057,0,1057,1.0,1,0,3,1,5,171603.08880994673,0,131189.86280487804,1953.0,1.0,246.0,0,52,0,0,0,165659.6867356538,139055.156626506,109000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
